"","well.id","flag_id","Metadata_Experiment","Metadata_Plate","Metadata_Well","Metadata_Date","Metadata_Group","Metadata_Magnification","FileName_RawBF","wo_po_area_frac","drug","assay_type","food_conc_OD","food_type","plate","row","col","bleach","strain","well_censor","well_censor_reason","notes","concentration_um","diluent","class","i.dir","w.lab","gbm2x_class","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","n","assay_bleach","median_wormlength_um_reg","assay_bleach_coeff","assay_bleach_se","assay_bleach_tvalue","assay_bleach_pvalue","control_median_wormlength_um_reg","median_wormlength_um_reg_delta"
"21","ben1_p001_C03","ben1_1_ECA3693_Albendazole","ben1","p001","C03",20230928,"p001_C03","m2x","20230928-ben1-p001-m2x_C03.TIF",1.11468288444831,"Albendazole","48h",10,"15hHB101",1,"C",3,1,"ECA3693",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3693","worm",714.16997334791,611.949497672614,679.008195520749,691.839113814121,716.774470456981,43.2984882840782,750.47490576132,756.156173288654,773.397594046696,0.0606277075485295,22,"ben1_1",26.9522008850396,689.822269571941,3.66365260879325,188.288122055098,0,68.7688513259418,-41.8166504409022
"22","ben1_p001_C04","ben1_1_ECA3694_Albendazole","ben1","p001","C04",20230928,"p001_C04","m2x","20230928-ben1-p001-m2x_C04.TIF",1.08760050782903,"Albendazole","48h",10,"15hHB101",1,"C",4,1,"ECA3694",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3694","worm",678.189330117412,607.793932936664,610.27694359923,619.161211682383,684.334727006247,61.6289789087098,713.341929241476,742.737684567726,780.430628147053,0.0908728229299039,8,"ben1_1",-5.48754256569462,689.822269571941,3.66365260879325,188.288122055098,0,56.0983034711669,-61.5858460368615
"23","ben1_p001_C05","ben1_1_VC364_Albendazole","ben1","p001","C05",20230928,"p001_C05","m2x","20230928-ben1-p001-m2x_C05.TIF",1.07039420756235,"Albendazole","48h",10,"15hHB101",1,"C",5,1,"VC364",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_VC364","worm",609.817572477322,398.949055729801,413.805472609812,437.040601231113,665.073747309885,166.08760966358,734.033081309455,774.798369768148,797.991932968858,0.272356221203771,8,"ben1_1",-24.7485222620563,689.822269571941,3.66365260879325,188.288122055098,0,-3.23071197146839,-21.5178102905879
"24","ben1_p001_C06","ben1_1_ECA3257_Albendazole","ben1","p001","C06",20230928,"p001_C06","m2x","20230928-ben1-p001-m2x_C06.TIF",0.830758426966292,"Albendazole","48h",10,"15hHB101",1,"C",6,1,"ECA3257",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3257","worm",502.994359163319,459.834026992131,464.242017136099,471.751875379516,496.08327019818,40.2440232605482,529.517935008511,548.657790155679,561.661353872842,0.0800088957806408,6,"ben1_1",-193.738999373761,689.822269571941,3.66365260879325,188.288122055098,0,85.8697869912059,-279.608786364967
"25","ben1_p001_C07","ben1_1_ECA3260_Albendazole","ben1","p001","C07",20230928,"p001_C07","m2x","20230928-ben1-p001-m2x_C07.TIF",0.995463709677419,"Albendazole","48h",10,"15hHB101",1,"C",7,1,"ECA3260",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3260","worm",466.922419354451,344.014355758032,367.016612437257,438.037853349111,477.986596728038,67.8546461350504,512.109394807714,543.755506759392,548.198817412908,0.145323170022257,12,"ben1_1",-211.835672843903,689.822269571941,3.66365260879325,188.288122055098,0,82.8415946816924,-294.677267525596
"26","ben1_p001_C08","ben1_1_ECA3581_Albendazole","ben1","p001","C08",20230928,"p001_C08","m2x","20230928-ben1-p001-m2x_C08.TIF",1.02552021986651,"Albendazole","48h",10,"15hHB101",1,"C",8,1,"ECA3581",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3581","worm",733.160112077542,672.129104813033,675.355219996452,689.481464792062,715.38715333061,53.2459009547284,777.204111917161,801.038343026341,815.787703044073,0.0726252016136645,10,"ben1_1",25.5648837586688,689.822269571941,3.66365260879325,188.288122055098,0,70.7938603514032,-45.2289765927344
"27","ben1_p001_C09","ben1_1_ECA3726_Albendazole","ben1","p001","C09",20230928,"p001_C09","m2x","20230928-ben1-p001-m2x_C09.TIF",1.06455696202532,"Albendazole","48h",10,"15hHB101",1,"C",9,1,"ECA3726",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3726","worm",727.789260279452,634.571523939287,663.25732638088,691.996059711527,727.363174883863,52.2544972646437,771.249250946046,789.362787845277,803.492410877758,0.0717989397708059,14,"ben1_1",37.5409053119216,689.822269571941,3.66365260879325,188.288122055098,0,81.2436540932146,-43.702748781293
"28","ben1_p001_D01","ben1_1_N2_Albendazole","ben1","p001","D01",20230928,"p001_D01","m2x","20230928-ben1-p001-m2x_D01.TIF",0.809176984705026,"Albendazole","48h",10,"15hHB101",1,"D",1,1,"N2",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_N2","worm",512.07918062208,430.92723351851,465.555850285033,486.514660519413,509.990233885625,43.564803552437,540.222882833684,553.997516348453,591.485069516791,0.0850743502196555,12,"ben1_1",-179.832035686316,689.822269571941,3.66365260879325,188.288122055098,0,68.7575865548176,-248.589622241134
"29","ben1_p001_D02","ben1_1_ECA882_Albendazole","ben1","p001","D02",20230928,"p001_D02","m2x","20230928-ben1-p001-m2x_D02.TIF",1.09387755102041,"Albendazole","48h",10,"15hHB101",1,"D",2,1,"ECA882",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA882","worm",739.367096316853,672.560231781743,710.856766092394,719.658629983378,732.631622445058,32.1578201949999,758.99770072945,781.616872301158,788.872993464849,0.0434937128730689,14,"ben1_1",42.8093528731164,689.822269571941,3.66365260879325,188.288122055098,0,72.0155202970548,-29.2061674239384
"30","ben1_p001_D03","ben1_1_ECA3693_Albendazole","ben1","p001","D03",20230928,"p001_D03","m2x","20230928-ben1-p001-m2x_D03.TIF",0.801488833746898,"Albendazole","48h",10,"15hHB101",1,"D",3,1,"ECA3693",NA,NA,NA,50,"DMSO","Anthelmintic","/projects/b1059/projects/Skyler/cellprofiler-nf/projects/20230803_TCben1/Analysis-20230810/processed_images/","Albendazole_ECA3693","non-worm",713.247619458944,623.000977932322,645.842679337713,693.902445132347,713.484578744995,44.0805822030603,741.255424985325,755.980456092394,791.421168241678,0.0618026348780512,18,"ben1_1",23.6623091730536,689.822269571941,3.66365260879325,188.288122055098,0,68.7688513259418,-45.1065421528882
